Car_Name,version,Gear Type,Running_kn,Owner,Fuel Type,Passing State,Price
2015 Maruti Ciaz,ZXI PLUS,Manual,"89,902 km",1st Owner,Petrol,MH-01,"5,80,000"
2020 Honda Civic,ZX CVT PETROL,Automatic,"47,283 km",1st Owner,Petrol,MH-48,"17,90,000"
2021 Maruti New  Wagon-R,LXI CNG 1.0 L,Manual,"24,347 km",2nd Owner,Petrol + CNG,MH-05,"6,26,000"
2018 Maruti Wagon R 1.0,LXI CNG,Manual,"64,888 km",1st Owner,Petrol + CNG,MH-47,"4,87,000"
2018 Maruti Celerio,VXI CNG OPT,Manual,"81,565 km",1st Owner,Petrol + CNG,MH-04,"4,66,000"
2013 Maruti Swift,VXI,Manual,"37,591 km",1st Owner,Petrol,MH-02,"4,08,000"
2020 KIA SONET,GTX PLUS DCT 1.0,,"12,049 km",1st Owner,Petrol,MH-27,"13,01,000"
2016 Hyundai Grand i10,MAGNA 1.2 VTVT,Manual,"64,681 km",1st Owner,Petrol,MH-02,"4,31,000"
2013 Maruti Swift Dzire,VXI,Manual,"46,227 km",1st Owner,Petrol,MH-02,"4,36,000"
2017 Honda Jazz,VX  1.2,Manual,"15,621 km",1st Owner,Petrol,MH-04,"5,79,000"
2017 Maruti Wagon R 1.0,VXI,Manual,"39,375 km",1st Owner,Petrol,MH-01,"4,37,000"
2018 Maruti Wagon R 1.0,LXI CNG,Manual,"53,840 km",1st Owner,Petrol + CNG,MH-05,"4,57,000"
2017 Maruti Baleno,ALPHA PETROL 1.2,,"71,697 km",1st Owner,Petrol,MH-46,"5,98,000"
2018 Maruti Vitara Brezza,ZDI PLUS,Manual,"27,728 km",1st Owner,Diesel,MH-46,"9,61,000"
2017 Hyundai Creta,1.6 CRDI SX PLUS AUTO,Automatic,"86,508 km",1st Owner,Diesel,MH-46,"10,99,000"
2016 Hyundai Xcent,SX 1.2,Manual,"58,481 km",1st Owner,Petrol,MH-04,"5,15,000"
2021 Mahindra XUV 3OO,1.2 W6 MT,,"9,814 km",1st Owner,Petrol,MH-01,"9,36,000"
2018 Maruti Ciaz,ALPHA 1.5 MT VTVT SHVS,Manual,"81,038 km",2nd Owner,Petrol,MH-01,"7,80,000"
2014 Maruti Wagon R 1.0,LXI CNG,Manual,"33,025 km",1st Owner,Petrol + CNG,MH-02,"3,85,000"
2017 Hyundai Creta,1.6 E + VTVT,Manual,"43,475 km",1st Owner,Petrol,MH-46,"7,98,000"
2020 Skoda Rapid,ACTIVE 1.0 TSI,Manual,"47,223 km",1st Owner,Petrol,MH-43,"8,58,000"
2016 Maruti Wagon R 1.0,LXI CNG,Manual,"74,871 km",1st Owner,Petrol + CNG,MH-46,"3,90,000"
2015 Hyundai Creta,1.6 SX PLUS PETROL,Manual,"55,519 km",1st Owner,Petrol,MH-02,"8,15,000"
2020 KIA SELTOS,HTK PLUS 1.5 DIESEL,Manual,"26,188 km",1st Owner,Diesel,MH-04,"14,15,000"
2020 Hyundai GRAND I10 NIOS,SPORTZ PETROL,Manual,"10,826 km",2nd Owner,Petrol,MH-01,"6,22,000"
2020 Maruti S PRESSO,VXI CNG,Manual,"16,653 km",1st Owner,Petrol + CNG,MH-47,"4,77,000"
2019 Tata NEXON,XZ+ 1.5,Manual,"16,708 km",2nd Owner,Diesel,MH-01,"8,73,000"
2020 Hyundai Creta,1.4 SX(O) TURBO GDI DCT DUAL TONE,,"12,494 km",1st Owner,Petrol,MH-03,"18,47,000"
2018 Honda City,ZX CVT,Automatic,"34,412 km",1st Owner,Petrol,MH-03,"10,87,000"
2018 Maruti Wagon R 1.0,LXI CNG,Manual,"68,145 km",1st Owner,Petrol + CNG,MH-03,"4,87,000"
2017 Maruti IGNIS,DELTA 1.2 K12 AMT,Automatic,"6,511 km",2nd Owner,Petrol,MH-47,"5,24,000"
2021 Maruti Alto,LXI OPT,Manual,"9,718 km",1st Owner,Petrol,MH-01,"3,91,000"
2016 Maruti Alto K10,LXI CNG,Manual,"62,922 km",1st Owner,Petrol + CNG,MH-05,"3,37,000"
2020 Maruti Dzire,ZXI Plus AMT,Automatic,"7,295 km",1st Owner,Petrol,MH-47,"8,40,000"
2018 Maruti Dzire,ZXI,Manual,"32,621 km",1st Owner,Petrol,MH-01,"6,70,000"
2018 Toyota Corolla Altis,G,Manual,"53,788 km",1st Owner,Petrol,MH-01,"10,22,000"
2016 Maruti Wagon R 1.0,VXI AMT,Automatic,"40,702 km",2nd Owner,Petrol + CNG,MH-46,"4,12,000"
2015 Honda City,VX MT PETROL,Manual,"59,727 km",2nd Owner,Petrol,MH-02,"6,64,000"
2019 Honda Civic,ZX CVT PETROL,Automatic,"24,463 km",1st Owner,Petrol,MH-01,"19,33,000"
2019 Maruti Wagon R 1.0,LXI CNG,Manual,"27,791 km",1st Owner,Petrol + CNG,MH-05,"5,04,000"
2017 Maruti Baleno,ALPHA 1.2 K12,Manual,"41,572 km",1st Owner,Petrol,MH-04,"5,99,000"
2020 Hyundai Creta,1.6 SX AT CRDI,Automatic,"59,605 km",1st Owner,Diesel,MH-12,"16,45,000"
2016 Maruti Ciaz,VDI+ SHVS,Manual,"91,147 km",2nd Owner,Diesel,MH-04,"6,09,000"
2020 Hyundai GRAND I10 NIOS,SPORTZ PETROL,Manual,"3,309 km",1st Owner,Petrol,MH-48,"6,84,000"
2019 KIA SELTOS,GTX+ 1.4 MT,Manual,"12,554 km",1st Owner,Petrol,MH-03,"14,51,000"
2021 Skoda Rapid,1.0 AMBITION TSI AT,Automatic,"4,384 km",1st Owner,Petrol,MH-02,"10,78,000"
2014 Maruti Swift Dzire,ZXI 1.2 BS IV,Manual,"55,095 km",1st Owner,Petrol,MH-05,"4,88,000"
2018 Maruti Celerio,VXI CNG,Manual,"52,509 km",1st Owner,Petrol + CNG,MH-04,"5,24,000"
2019 Maruti Swift,ZXI + AMT,Automatic,"36,333 km",1st Owner,Petrol,MH-46,"7,63,000"
2016 Maruti Ciaz,ZDI SHVS,Manual,"64,010 km",1st Owner,Diesel,MH-47,"7,25,000"
2017 Ford Ecosport,1.5 TITANIUM TI VCT AT,Automatic,"53,165 km",2nd Owner,Petrol,MH-43,"6,57,000"
2019 Hyundai Elite i20,1.2 SPORTS PLUS VTVT CVT,Automatic,"14,449 km",1st Owner,Petrol,MH-03,"8,09,000"
