Car_Name,version,Gear Type,Running_kn,Owner,Fuel Type,Passing State,Price
2019 Jeep Compass,LIMITED 1.4 AT,Automatic,"23,409 km",2nd Owner,Petrol,MH-14,"18,02,000"
2017 Honda City,VX CVT PETROL,Automatic,"58,495 km",1st Owner,Petrol,MH-12,"9,65,000"
2014 Hyundai Grand i10,ASTA 1.2 VTVT,Manual,"81,076 km",2nd Owner,Petrol,MH-14,"4,27,000"
2022 Maruti Alto,LXI OPT,Manual,"4,062 km",1st Owner,Petrol,MH-14,"4,20,000"
2019 Hyundai Elite i20,1.2  ASTA (O) CVT,Automatic,"13,558 km",1st Owner,Petrol,MH-14,"8,96,000"
2018 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"52,588 km",2nd Owner,Petrol + CNG,MH-12,"5,41,000"
2018 Hyundai NEW SANTRO,1.1 SPORTZ MT CNG,,"39,655 km",1st Owner,Petrol + CNG,MH-04,"5,56,000"
2016 Maruti Alto 800,LXI,Manual,"24,392 km",1st Owner,Petrol,MH-12,"3,15,000"
2019 Hyundai NEW SANTRO,ERA 1.1,Manual,"15,865 km",1st Owner,Petrol,MH-12,"4,69,000"
2020 KIA SONET,GTX PLUS DCT 1.0,,"27,671 km",1st Owner,Petrol,MH-12,"12,29,000"
2017 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"38,831 km",1st Owner,Petrol + CNG,MH-12,"5,38,000"
2017 Maruti Wagon R 1.0,VXI,Manual,"38,067 km",1st Owner,Petrol,MH-05,"4,19,000"
2021 Maruti New  Wagon-R,LXI CNG 1.0 L,Manual,"19,921 km",1st Owner,Petrol + CNG,MH-12,"6,72,000"
2017 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"66,447 km",1st Owner,Petrol,MH-14,"4,88,000"
2017 Maruti Swift,VXI OPT,Manual,"39,241 km",1st Owner,Petrol,MH-14,"6,07,000"
2017 Maruti Wagon R 1.0,LXI CNG,Manual,"72,638 km",1st Owner,Petrol + CNG,MH-12,"4,70,000"
2013 Maruti Wagon R 1.0,LXI,Manual,"94,846 km",2nd Owner,Petrol,MH-14,"3,21,000"
2018 Maruti Alto 800,LXI,Manual,"54,875 km",1st Owner,Petrol,MH-12,"3,20,000"
2021 Maruti Alto,LXI CNG (O),Manual,"37,228 km",1st Owner,Petrol + CNG,MH-05,"5,43,000"
2018 Hyundai NEW SANTRO,1.1 SPORTZ MT CNG,,"73,294 km",2nd Owner,Petrol + CNG,MH-12,"5,13,000"
2020 Toyota YARIS,J CVT,Automatic,"11,941 km",1st Owner,Petrol,MH-01,"9,06,000"
2019 Renault TRIBER,1.0 RXZ,Manual,"22,301 km",1st Owner,Petrol,MH-12,"7,12,000"
2019 Toyota YARIS,J CVT,Automatic,"18,510 km",1st Owner,Petrol,MH-12,"8,70,000"
2012 Hyundai i20,ASTA 1.2,Manual,"53,635 km",1st Owner,Petrol,MH-12,"4,65,000"
2018 Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,"20,253 km",1st Owner,Petrol,MH-14,"5,37,000"
2014 Maruti Wagon R 1.0,LXI CNG,Manual,"63,339 km",1st Owner,Petrol + CNG,MH-14,"4,12,000"
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"53,732 km",1st Owner,Petrol,MH-12,"4,85,000"
2021 Maruti Alto,VXI,Manual,"7,285 km",1st Owner,Petrol,MH-12,"4,44,000"
2015 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"23,930 km",1st Owner,Petrol,MH-12,"4,54,000"
2016 Maruti Baleno,ZETA 1.2 K12,Manual,"53,483 km",1st Owner,Petrol,MH-12,"6,00,000"
2019 Maruti Swift,ZXI,Manual,"18,619 km",1st Owner,Petrol,MH-14,"7,62,000"
2019 Hyundai VENUE,1.0 TURBO GDI SX+ AT,Automatic,"16,328 km",2nd Owner,Petrol,MH-12,"11,12,000"
2016 Hyundai Grand i10,ASTA 1.2 (O) VTVT,Manual,"39,995 km",1st Owner,Petrol,MH-12,"5,25,000"
2015 Maruti Wagon R 1.0,VXI,Manual,"56,293 km",2nd Owner,Petrol,MH-12,"3,72,000"
2017 Hyundai Creta,1.6 CRDI SX PLUS AUTO,Automatic,"95,045 km",1st Owner,Diesel,MH-02,"11,13,000"
2016 Hyundai Creta,1.6 SX PLUS AUTO PETROL,Automatic,"67,978 km",2nd Owner,Petrol,MH-47,"9,90,000"
2019 Toyota YARIS,J MT,Manual,"49,140 km",1st Owner,Petrol,MH-01,"7,27,000"
2018 Maruti IGNIS,DELTA 1.2 K12 AMT,Automatic,"79,455 km",1st Owner,Petrol,MH-12,"5,30,000"
